Date Inserted,Round Id,Course,Scorecard Id,Tee Type,Scorecard Type,Handicap Type,Handicap,Hole Id,Hole Number,Par,Stroke Index,Score,Putts,Drive Result,Penalty Strokes,Bunker Hit,Net Score,Strokes Taken
2016-03-19T10:26:55+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423856,1,4,17,5,2,straight,0,FALSE,3,2
2016-03-19T10:42:36+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423857,2,4,3,7,2,straight,0,FALSE,5,2
2016-03-19T10:51:54+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423858,3,3,11,4,2,straight,0,FALSE,2,2
2016-03-19T11:09:11+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423859,4,4,5,9,1,straight,0,FALSE,7,2
2016-03-19T11:25:18+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423860,5,5,7,7,2,straight,0,FALSE,5,2
2016-03-19T11:40:20+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423861,6,4,1,7,3,straight,0,FALSE,5,2
2016-03-19T11:55:36+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423862,7,5,9,10,3,straight,1,TRUE,8,2
2016-03-19T12:07:13+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423863,8,3,15,4,2,straight,0,FALSE,2,2
2016-03-19T12:20:11+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423864,9,4,13,7,3,right,0,FALSE,5,2
2016-03-19T12:52:02+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423865,10,3,16,5,2,right,0,FALSE,3,2
2016-03-19T12:52:02+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423865,11,4,4,7,3,straight,0,FALSE,5,2
2016-03-19T13:04:27+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423867,12,4,14,6,2,left,0,FALSE,4,2
2016-03-19T13:19:38+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423868,13,4,12,7,2,right,1,FALSE,5,2
2016-03-19T13:33:11+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423869,14,4,10,7,3,straight,0,FALSE,5,2
2016-03-19T13:47:09+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423870,15,4,2,8,3,right,0,FALSE,6,2
2016-03-19T13:57:05+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423871,16,3,8,5,2,left,0,FALSE,3,2
2016-03-19T14:13:41+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423872,17,5,18,8,3,right,0,FALSE,6,2
2016-03-19T14:25:36+00:00,13779734,Occoneechee Golf Club,11726829,men,stroke play,basic handicap,36,423873,18,4,6,6,3,left,0,FALSE,4,2
2016-03-13T11:13:48+00:00,13736589,Twin Lakes Golf Course,11677866,men,stroke play,basic handicap,36,129558,1,5,3,6,2,straight,0,FALSE,4,2
2016-03-13T11:30:55+00:00,13736589,Twin Lakes Golf Course,11677866,men,stroke play,basic handicap,36,129559,2,4,7,9,3,right,0,TRUE,7,2
2016-03-13T11:42:07+00:00,13736589,Twin Lakes Golf Course,11677866,men,stroke play,basic handicap,36,129560,3,3,15,9,3,top,0,TRUE,7,2
2016-03-13T11:55:30+00:00,13736589,Twin Lakes Golf Course,11677866,men,stroke play,basic handicap,36,129561,4,5,1,10,3,right,0,FALSE,8,2
2016-03-13T12:10:41+00:00,13736589,Twin Lakes Golf Course,11677866,men,stroke play,basic handicap,36,129562,5,4,5,6,3,straight,0,FALSE,4,2
2016-03-13T12:22:37+00:00,13736589,Twin Lakes Golf Course,11677866,men,stroke play,basic handicap,36,129563,6,3,17,4,2,right,0,FALSE,2,2
2016-03-13T12:33:18+00:00,13736589,Twin Lakes Golf Course,11677866,men,stroke play,basic handicap,36,129565,7,4,13,5,3,right,0,FALSE,3,2
2016-03-13T12:48:08+00:00,13736589,Twin Lakes Golf Course,11677866,men,stroke play,basic handicap,36,129567,8,4,11,7,3,straight,0,FALSE,5,2
2016-03-13T13:04:36+00:00,13736589,Twin Lakes Golf Course,11677866,men,stroke play,basic handicap,36,129569,9,4,9,6,2,straight,0,TRUE,4,2
2016-03-13T09:07:23+00:00,13734396,Twin Lakes Golf Course,11675252,men,stroke play,basic handicap,36,129558,1,5,3,8,1,straight,0,FALSE,6,2
2016-03-13T09:19:07+00:00,13734396,Twin Lakes Golf Course,11675252,men,stroke play,basic handicap,36,129559,2,4,7,8,3,right,0,TRUE,6,2
2016-03-13T09:29:44+00:00,13734396,Twin Lakes Golf Course,11675252,men,stroke play,basic handicap,36,129560,3,3,15,6,3,left,0,FALSE,4,2
2016-03-13T09:46:08+00:00,13734396,Twin Lakes Golf Course,11675252,men,stroke play,basic handicap,36,129561,4,5,1,9,1,right,1,FALSE,7,2
2016-03-13T09:59:43+00:00,13734396,Twin Lakes Golf Course,11675252,men,stroke play,basic handicap,36,129562,5,4,5,6,3,top,0,FALSE,4,2
2016-03-13T10:12:06+00:00,13734396,Twin Lakes Golf Course,11675252,men,stroke play,basic handicap,36,129563,6,3,17,4,2,straight,0,FALSE,2,2
2016-03-13T10:30:58+00:00,13734396,Twin Lakes Golf Course,11675252,men,stroke play,basic handicap,36,129565,7,4,13,7,2,left,0,FALSE,5,2
2016-03-13T10:38:07+00:00,13734396,Twin Lakes Golf Course,11675252,men,stroke play,basic handicap,36,129567,8,4,11,7,3,right,0,FALSE,5,2
2016-03-13T10:54:34+00:00,13734396,Twin Lakes Golf Course,11675252,men,stroke play,basic handicap,36,129569,9,4,9,4,1,straight,0,FALSE,2,2
2016-02-27T10:37:09+00:00,13622966,Hillandale Golf Course,11547240,men,stroke play,basic handicap,36,77930,1,4,16,5,3,straight,0,FALSE,3,2
2016-02-27T10:56:19+00:00,13622966,Hillandale Golf Course,11547240,men,stroke play,basic handicap,36,77933,2,5,3,8,3,straight,1,FALSE,6,2
2016-02-27T11:11:56+00:00,13622966,Hillandale Golf Course,11547240,men,stroke play,basic handicap,36,77936,3,4,2,7,2,top,0,FALSE,5,2
2016-02-27T11:22:47+00:00,13622966,Hillandale Golf Course,11547240,men,stroke play,basic handicap,36,77939,4,3,17,6,4,top,0,TRUE,4,2
2016-02-27T11:35:05+00:00,13622966,Hillandale Golf Course,11547240,men,stroke play,basic handicap,36,77942,5,4,18,8,2,right,4,FALSE,6,2
2016-02-27T11:52:13+00:00,13622966,Hillandale Golf Course,11547240,men,stroke play,basic handicap,36,77945,6,4,15,6,3,right,0,FALSE,4,2
2016-02-27T12:05:11+00:00,13622966,Hillandale Golf Course,11547240,men,stroke play,basic handicap,36,77948,7,3,5,5,2,top,0,TRUE,3,2
2016-02-27T12:18:17+00:00,13622966,Hillandale Golf Course,11547240,men,stroke play,basic handicap,36,77951,8,4,13,6,3,straight,0,FALSE,4,2
2016-02-27T12:33:33+00:00,13622966,Hillandale Golf Course,11547240,men,stroke play,basic handicap,36,77952,9,4,7,7,2,straight,0,FALSE,5,2
2016-02-07T12:26:35+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77930,1,4,16,5,2,straight,0,FALSE,3,2
2016-02-07T12:41:47+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77933,2,5,3,6,1,right,1,FALSE,4,2
2016-02-07T12:55:48+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77936,3,4,2,7,1,right,1,FALSE,5,2
2016-02-07T13:10:53+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77939,4,3,17,7,2,right,0,TRUE,5,2
2016-02-07T13:23:29+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77942,5,4,18,5,2,straight,0,FALSE,3,2
2016-02-07T13:42:23+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77945,6,4,15,7,4,straight,0,FALSE,5,2
2016-02-07T13:54:19+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77948,7,3,5,8,3,right,0,FALSE,6,2
2016-02-07T14:06:18+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77951,8,4,13,6,2,straight,1,FALSE,4,2
2016-02-07T14:22:33+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77952,9,4,7,9,2,straight,0,FALSE,7,2
2016-02-07T14:44:40+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77954,10,4,1,7,2,right,0,FALSE,5,2
2016-02-07T15:00:55+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77956,11,4,6,7,3,right,0,FALSE,5,2
2016-02-07T15:16:38+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77958,12,4,14,6,2,right,0,FALSE,4,2
2016-02-07T15:32:10+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77960,13,4,10,6,3,top,0,FALSE,4,2
2016-02-07T15:51:15+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77962,14,5,8,8,2,left,0,FALSE,6,2
2016-02-07T16:01:33+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77963,15,3,4,6,3,top,0,FALSE,4,2
2016-02-07T16:15:16+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77964,16,4,12,6,2,right,0,FALSE,4,2
2016-02-07T16:27:48+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77966,17,3,11,4,2,right,0,FALSE,2,2
2016-02-07T16:45:32+00:00,13511158,Hillandale Golf Course,11417257,men,stroke play,basic handicap,36,77967,18,5,9,8,3,right,0,FALSE,6,2
2016-01-30T11:34:08+00:00,13468903,Hillandale Golf Course,11367555,men,stroke play,basic handicap,36,77930,1,4,16,4,2,straight,0,FALSE,2,2
2016-01-30T11:57:31+00:00,13468903,Hillandale Golf Course,11367555,men,stroke play,basic handicap,36,77933,2,5,3,8,3,right,1,FALSE,6,2
2016-01-30T12:14:42+00:00,13468903,Hillandale Golf Course,11367555,men,stroke play,basic handicap,36,77936,3,4,2,9,3,right,1,FALSE,7,2
2016-01-30T12:29:20+00:00,13468903,Hillandale Golf Course,11367555,men,stroke play,basic handicap,36,77939,4,3,17,5,3,right,1,FALSE,3,2
2016-01-30T12:43:06+00:00,13468903,Hillandale Golf Course,11367555,men,stroke play,basic handicap,36,77942,5,4,18,6,3,top,0,FALSE,4,2
2016-01-30T12:57:01+00:00,13468903,Hillandale Golf Course,11367555,men,stroke play,basic handicap,36,77945,6,4,15,8,3,right,1,FALSE,6,2
2016-01-30T13:08:12+00:00,13468903,Hillandale Golf Course,11367555,men,stroke play,basic handicap,36,77948,7,3,5,7,3,left,0,FALSE,5,2
2016-01-30T13:24:53+00:00,13468903,Hillandale Golf Course,11367555,men,stroke play,basic handicap,36,77951,8,4,13,6,2,right,0,FALSE,4,2
2016-01-30T13:38:21+00:00,13468903,Hillandale Golf Course,11367555,men,stroke play,basic handicap,36,77952,9,4,7,7,3,straight,0,FALSE,5,2
2015-11-22T11:08:22+00:00,13143105,Hillandale Golf Course,10986000,men,stroke play,basic handicap,36,77930,1,4,16,4,1,left,0,FALSE,2,2
2015-11-22T11:22:47+00:00,13143105,Hillandale Golf Course,10986000,men,stroke play,basic handicap,36,77933,2,5,3,8,2,chunk,2,FALSE,6,2
2015-11-22T11:37:56+00:00,13143105,Hillandale Golf Course,10986000,men,stroke play,basic handicap,36,77936,3,4,2,7,2,straight,0,FALSE,5,2
2015-11-22T11:46:42+00:00,13143105,Hillandale Golf Course,10986000,men,stroke play,basic handicap,36,77939,4,3,17,5,2,straight,0,FALSE,3,2
2015-11-22T11:58:17+00:00,13143105,Hillandale Golf Course,10986000,men,stroke play,basic handicap,36,77942,5,4,18,5,2,straight,0,FALSE,3,2
2015-11-22T12:12:28+00:00,13143105,Hillandale Golf Course,10986000,men,stroke play,basic handicap,36,77945,6,4,15,8,3,left,1,FALSE,6,2
2015-11-22T12:23:12+00:00,13143105,Hillandale Golf Course,10986000,men,stroke play,basic handicap,36,77948,7,3,5,6,3,chunk,0,FALSE,4,2
2015-11-22T12:35:15+00:00,13143105,Hillandale Golf Course,10986000,men,stroke play,basic handicap,36,77951,8,4,13,6,2,straight,0,FALSE,4,2
2015-11-22T12:50:24+00:00,13143105,Hillandale Golf Course,10986000,men,stroke play,basic handicap,36,77952,9,4,7,9,3,right,1,FALSE,7,2
