CatchId,Stage,Number of Cells,SurfaceArea (m2),BedArea (m2),Volume (m3),SLOPE,LENGTHKM,AREASQKM,Roughness,TopWidth (m),WettedPerimeter (m),WetArea (m2),HydraulicRadius (m),Discharge (m3s-1)
3360406,0.0,1172,2930000.0,2930000.0,0.0,0.0,1.733,0.3294,0.05,1690.70975188,1690.70975188,0.0,0.0,0.0
3360406,0.3048,1226,3065000.0,3065000.16391,902679.645533,0.0,1.733,0.3294,0.05,1768.60934795,1768.60944253,520.876887209,0.29451210351,0.0
3360406,0.6096,2031,5077500.0,5077503.5733,2043299.82155,0.0,1.733,0.3294,0.05,2929.89036353,2929.89242545,1179.05356119,0.402422133643,0.0
3360406,0.9144,3149,7872500.0,7872516.554,4068343.97461,0.0,1.733,0.3294,0.05,4542.70051933,4542.71007155,2347.57298015,0.516778078102,0.0
3360406,1.2192,3689,9222500.0,9222534.72239,6703430.47554,0.0,1.733,0.3294,0.05,5321.69648009,5321.71651609,3868.10760274,0.726853373539,0.0
3360406,1.524,3959,9897500.0,9897554.26049,9612234.40285,0.0,1.733,0.3294,0.05,5711.19446047,5711.22577062,5546.58649905,0.971172690734,0.0
3360406,1.8288,4160,10400000.0,10400076.0531,12709870.2435,0.0,1.733,0.3294,0.05,6001.15406809,6001.19795334,7334.02783813,1.2220939711,0.0
3360406,2.1336,4362,10905000.0,10905106.2882,15957703.9634,0.0,1.733,0.3294,0.05,6292.55626082,6292.61759273,9208.13846708,1.4633240192,0.0
3360406,2.4384,4621,11552500.0,11552648.3914,19381462.8655,0.0,1.733,0.3294,0.05,6666.18580496,6666.27143187,11183.7639154,1.677664048,0.0
3360406,2.7432,4984,12460000.0,12460202.7446,23015034.3903,0.0,1.733,0.3294,0.05,7189.84420081,7189.96119135,13280.4583902,1.8470834594,0.0
3360406,3.048,6354,15885000.0,15885287.8869,27092064.6641,0.0,1.733,0.3294,0.05,9166.18580496,9166.35192548,15633.0436608,1.70548150321,0.0
3360406,3.3528,9095,22737500.0,22737919.1929,33023066.3137,0.0,1.733,0.3294,0.05,13120.3115984,13120.553487,19055.4335336,1.45233457967,0.0
3360406,3.6576,10358,25895000.0,25895672.1956,40488806.9142,0.0,1.733,0.3294,0.05,14942.2965955,14942.6844752,23363.4200313,1.56353565988,0.0
3360406,3.9624,11233,28082500.0,28083432.0539,48712409.9411,0.0,1.733,0.3294,0.05,16204.558569,16205.0963958,28108.7189504,1.73456042864,0.0
3360406,4.2672,12020,30050000.0,30051234.4417,57577099.0206,0.0,1.733,0.3294,0.05,17339.8730525,17340.5853674,33223.9463477,1.9159645216,0.0
3360406,4.572,12485,31212500.0,31213970.4815,66926704.7487,0.0,1.733,0.3294,0.05,18010.6751298,18011.5236477,38618.9871603,2.14412661114,0.0
3360406,4.8768,12721,31802500.0,31804148.6102,76536826.6393,0.0,1.733,0.3294,0.05,18351.1252164,18352.0765206,44164.3546678,2.40650449654,0.0
3360406,5.1816,12838,32095000.0,32096733.1505,86276979.1264,0.0,1.733,0.3294,0.05,18519.9076746,18520.9077614,49784.7542564,2.6880299226,0.0
3360406,5.4864,12930,32325000.0,32326782.6951,96099564.5727,0.0,1.733,0.3294,0.05,18652.6255049,18653.6541806,55452.720469,2.9727537528,0.0
3360406,5.7912,13006,32515000.0,32516818.3964,105982925.955,0.0,1.733,0.3294,0.05,18762.2619735,18763.3112501,61155.7564658,3.25932644034,0.0
3360406,6.096,13085,32712500.0,32714334.6012,115923278.065,0.0,1.733,0.3294,0.05,18876.2261973,18877.2848247,66891.6780526,3.54350102114,0.0
3360406,6.4008,13140,32850000.0,32851853.7855,125915880.68,0.0,1.733,0.3294,0.05,18955.5683785,18956.6380759,72657.7499596,3.83283943433,0.0
3360406,6.7056,13186,32965000.0,32966874.9186,135948337.255,0.0,1.733,0.3294,0.05,19021.9272937,19023.0091856,78446.8189586,4.12378600006,0.0
3360406,7.0104,13213,33032500.0,33034388.3097,146007463.802,0.0,1.733,0.3294,0.05,19060.8770917,19061.9667107,84251.2774389,4.41986279366,0.0
3360406,7.3152,13221,33052500.0,33054402.3228,156078993.814,0.0,1.733,0.3294,0.05,19072.4177726,19073.5154777,90062.8931413,4.72188219559,0.0
3360406,7.62,13224,33060000.0,33061906.0132,166154028.318,0.0,1.733,0.3294,0.05,19076.745528,19077.8453625,95876.5310546,5.0255429391,0.0
3360406,7.9248,13226,33065000.0,33066909.7868,176231525.325,0.0,1.733,0.3294,0.05,19079.6306982,19080.7327102,101691.589916,5.32954323404,0.0
3360406,8.2296,13227,33067500.0,33069409.7868,186310303.819,0.0,1.733,0.3294,0.05,19081.0732833,19082.1752953,107507.38824,5.63391681378,0.0
3360406,8.5344,13235,33087500.0,33089411.0385,196392375.821,0.0,1.733,0.3294,0.05,19092.6139642,19093.7166985,113325.087029,5.93520312564,0.0
3360406,8.8392,13242,33105000.0,33106915.2322,206480534.309,0.0,1.733,0.3294,0.05,19102.71206,19103.8172142,119146.297928,6.23677962326,0.0
3360406,9.144,13246,33115000.0,33116915.6554,216573340.805,0.0,1.733,0.3294,0.05,19108.4824005,19109.5877989,124970.190886,6.53965915964,0.0
3360406,9.4488,13250,33125000.0,33126917.1968,226668880.798,0.0,1.733,0.3294,0.05,19114.2527409,19115.3590287,130795.661164,6.84243811313,0.0
3360406,9.7536,13252,33130000.0,33131917.6641,236766038.79,0.0,1.733,0.3294,0.05,19117.1379111,19118.2444686,136622.065083,7.14616163151,0.0
3360406,10.0584,13253,33132500.0,33134418.2408,246864553.791,0.0,1.733,0.3294,0.05,19118.5804962,19119.6873865,142449.252043,7.45039650302,0.0
3360406,10.3632,13253,33132500.0,33134418.2408,256963339.791,0.0,1.733,0.3294,0.05,19118.5804962,19119.6873865,148276.595378,7.75517885733,0.0
3360406,10.668,13254,33135000.0,33136918.3311,267062805.791,0.0,1.733,0.3294,0.05,19120.0230814,19121.1300237,154104.331097,8.05937363043,0.0
3360406,10.9728,13254,33135000.0,33136918.3311,277162353.791,0.0,1.733,0.3294,0.05,19120.0230814,19121.1300237,159932.114132,8.36415598523,0.0
3360406,11.2776,13254,33135000.0,33136918.3311,287261901.791,0.0,1.733,0.3294,0.05,19120.0230814,19121.1300237,165759.897167,8.66893834004,0.0
3360406,11.5824,13254,33135000.0,33136918.3311,297361449.791,0.0,1.733,0.3294,0.05,19120.0230814,19121.1300237,171587.680203,8.97372069485,0.0
3360406,11.8872,13254,33135000.0,33136918.3311,307460997.791,0.0,1.733,0.3294,0.05,19120.0230814,19121.1300237,177415.463238,9.27850304965,0.0
3360406,12.192,13254,33135000.0,33136918.3311,317560545.791,0.0,1.733,0.3294,0.05,19120.0230814,19121.1300237,183243.246273,9.58328540446,0.0
3360406,12.4968,13254,33135000.0,33136918.3311,327660093.791,0.0,1.733,0.3294,0.05,19120.0230814,19121.1300237,189071.029308,9.88806775927,0.0
3360406,12.8016,13254,33135000.0,33136918.3311,337759641.791,0.0,1.733,0.3294,0.05,19120.0230814,19121.1300237,194898.812343,10.1928501141,0.0
3360406,13.1064,13254,33135000.0,33136918.3311,347859189.791,0.0,1.733,0.3294,0.05,19120.0230814,19121.1300237,200726.595379,10.4976324689,0.0
3360406,13.4112,13254,33135000.0,33136918.3311,357958737.791,0.0,1.733,0.3294,0.05,19120.0230814,19121.1300237,206554.378414,10.8024148237,0.0
3360406,13.716,13255,33137500.0,33139418.7048,368058715.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,212382.409182,11.1063720939,0.0
3360406,14.0208,13255,33137500.0,33139418.7048,378159025.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,218210.631917,11.4111544466,0.0
3360406,14.3256,13255,33137500.0,33139418.7048,388259335.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,224038.854652,11.7159367993,0.0
3360406,14.6304,13255,33137500.0,33139418.7048,398359645.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,229867.077387,12.020719152,0.0
3360406,14.9352,13255,33137500.0,33139418.7048,408459955.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,235695.300123,12.3255015047,0.0
