from,	to
1003,	1001
1006,	1001
1007,	1001
1008,	1001
1010,	1001
1011,	1001
1012,	1001
1017,	1001
1018,	1001
1019,	1001
1020,	1001
1022,	1001
1023,	1001
1025,	1001
1026,	1001
1028,	1001
1030,	1001
1031,	1001
1033,	1001
1034,	1001
1038,	1001
1040,	1001
1042,	1001
1043,	1001
1044,	1001
1048,	1001
1051,	1001
1057,	1001
1058,	1001
1060,	1001
1062,	1001
1064,	1001
1069,	1001
1070,	1001
1071,	1001
1072,	1001
1075,	1001
1076,	1001
1079,	1001
1080,	1001
1081,	1001
1086,	1001
1107,	1001
1112,	1001
1001,	1006
1018,	1006
1019,	1006
1023,	1006
1026,	1006
1028,	1006
1035,	1006
1047,	1006
1055,	1006
1059,	1006
1061,	1006
1064,	1006
1073,	1006
1078,	1006
1083,	1006
1002,	1112
1004,	1112
1005,	1112
1009,	1112
1013,	1112
1014,	1112
1015,	1112
1016,	1112
1021,	1112
1023,	1112
1024,	1112
1027,	1112
1029,	1112
1032,	1112
1036,	1112
1037,	1112
1039,	1112
1041,	1112
1045,	1112
1046,	1112
1049,	1112
1050,	1112
1052,	1112
1053,	1112
1054,	1112
1056,	1112
1063,	1112
1065,	1112
1066,	1112
1067,	1112
1068,	1112
1074,	1112
1077,	1112
1082,	1112
1084,	1112
1085,	1112
1087,	1112
1088,	1112
1089,	1112
1090,	1112
1091,	1112
1092,	1112
1093,	1112
1094,	1112
1095,	1112
1096,	1112
1097,	1112
1098,	1112
1099,	1112
1100,	1112
1101,	1112
1102,	1112
1103,	1112
1104,	1112
1105,	1112
1106,	1112
1108,	1112
1109,	1112
1110,	1112
1111,	1112
1113,	1112
